legacy_node_id,node_id,pubchem_id,status
compound::2-Undecanol,compound::15448,15448,unique
compound::2-Undecanone,compound::8163,8163,unique
compound::2-Undecenal,compound::5283356,5283356,unique
compound::2-Vinylpyrazine,compound::77840,77840,unique
compound::2-[(Methylthio)methyl]-2-butenal,compound::57501028,57501028,unique
compound::2-amino-3-(prop-2-en-1-ylsulfanyl)propanoic acid,compound::98280,98280,unique
compound::2-heptanethiol,compound::522071,522071,unique
"compound::2-isobutyl-4,5-dimethyloxazole",compound::574068,574068,unique
compound::2-isopropyl-6-methoxypyrazine,compound::106441,106441,unique
compound::2-methyl-3-[4-(propan-2-yl)cyclohex-1-en-1-yl]propanal,compound::86818,86818,unique
compound::2-methylpropyl but-2-enoate,compound::61135,61135,unique
compound::2-oxobutanoic acid,compound::58,58,unique
compound::2-propionyl-1-pyrroline,compound::529251,529251,unique
compound::2-propionyl-2-thiazoline,compound::6428990,6428990,unique
compound::2-sec-Butylthiazole,compound::519539,519539,unique
compound::2-trans-6-cis-Dodecadienal,compound::6430759,6430759,unique
compound::20189-42-8,compound::29995,29995,unique
compound::227456-27-1,compound::6430888,6430888,unique
compound::23726-92-3,compound::1616260,1616260,unique
compound::23747-48-0,compound::32065,32065,unique
compound::24168-70-5,compound::520098,520098,unique
compound::24851-98-7,compound::102861,102861,unique
compound::2564-86-5,compound::137640,137640,unique
compound::28374-89-2,compound::185635,185635,unique
compound::28664-35-9,compound::62835,62835,unique
"compound::2E,4Z-Decadienal",compound::6427087,6427087,unique
"compound::3',4'-Dimethoxyacetophenone",compound::14328,14328,unique
"compound::3,3-Dimethylacrylic acid",compound::10931,10931,unique
"compound::3,3-Dimethylcyclohexanol",compound::79105,79105,unique
"compound::3,4-Dihydroxybenzaldehyde",compound::8768,8768,unique
"compound::3,4-Dihydroxybenzoic Acid",compound::72,72,unique
"compound::3,4-Dimethoxybenzaldehyde",compound::8419,8419,unique
"compound::3,4-Dimethoxystyrene",compound::61400,61400,unique
"compound::3,4-Dimethyl-1,2-cyclopentanedione",compound::61633,61633,unique
"compound::3,4-Dimethylphenol",compound::7249,7249,unique
"compound::3,4-Hexanedione",compound::62539,62539,unique
"compound::3,5,5-Trimethylhexan-1-ol",compound::18938,18938,unique
"compound::3,5-Diethyl-1,2,4-trithiolane",compound::520895,520895,unique
"compound::3,5-Diethyl-2-Methylpyrazine",compound::28906,28906,unique
"compound::3,5-Dimethyl-1,2,4-Trithiolane",compound::32033,32033,unique
"compound::3,5-Dimethyl-2-isobutylpyrazine",compound::578817,578817,unique
"compound::3,5-Octadien-2-one",compound::5352876,5352876,unique
"compound::3,6-Nonadien-1-ol",compound::42011,42011,unique
